mol_id,score,interaction_count,priority_score,cluster_id,substitution_signature,smiles,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R16,R18,R20,R21,R22,R23,R26,R28,R29,R31,R32,R34,R35,R37,R38
EN300-367388_29360,-11.374383017467052,3.0,0.660254974999839,,R1=[H].[H]O | R2=[H].[H] | R3=[H].[H] | R4=[H] | R6=[H].[H] | R7=[H].[H] | R8=[H] | R9=[H].[H] | R10=[H] | R11=[H] | R16=[H]C([H])[H] | R18=[H] | R20=[H] | R21=[H] | R22=[H]NC([H])([H])[H] | R23=[H] | R26=[H].[H]C([H])[H] | R28=[H].[H] | R29=[H].[H] | R31=[H] | R32=[H].[H] | R34=F | R35=[H] | R37=[H] | R38=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CC[C@H]6C[C@@H](O)CC[C@H]65)cc4F)CC2)n3C)c(=O)c1,[H].[H]O,[H].[H],[H].[H],[H],,[H].[H],[H].[H],[H],[H].[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-2009829_13844,-11.614789612638429,2.0,0.4719580238760003,,R1=[H].[H]O | R2=[H].[H] | R4=[H] | R5=[H].[H] | R6=[H].[H] | R7=[H].[H] | R8=[H].[H] | R9=[H] | R10=[H] | R11=[H] | R16=[H]C([H])[H] | R18=[H] | R20=[H] | R21=[H] | R22=[H]NC([H])([H])[H] | R23=[H] | R26=[H].[H]C([H])[H] | R28=[H].[H] | R29=[H].[H] | R31=[H] | R32=[H].[H] | R34=F | R35=[H] | R37=[H] | R38=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5C[C@H](O)[C@@H]6CCCC[C@H]65)cc4F)CC2)n3C)c(=O)c1,[H].[H]O,[H].[H],,[H],[H].[H],[H].[H],[H].[H],[H].[H],[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-2009829_13845,-11.4346301049741,2.0,0.46318781720925806,,R1=[H].[H]O | R2=[H].[H] | R4=[H] | R5=[H].[H] | R6=[H].[H] | R7=[H].[H] | R8=[H].[H] | R9=[H] | R10=[H] | R11=[H] | R16=[H]C([H])[H] | R18=[H] | R20=[H] | R21=[H] | R22=[H]NC([H])([H])[H] | R23=[H] | R26=[H].[H]C([H])[H] | R28=[H].[H] | R29=[H].[H] | R31=[H] | R32=[H].[H] | R34=F | R35=[H] | R37=[H] | R38=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5C[C@@H](O)[C@@H]6CCCC[C@H]65)cc4F)CC2)n3C)c(=O)c1,[H].[H]O,[H].[H],,[H],[H].[H],[H].[H],[H].[H],[H].[H],[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-21603732_41808,-11.3292036098918,2.0,0.4580556309482655,,R1=FC(F)F.[H] | R2=[H].[H] | R3=[H] | R4=[H].[H] | R5=[H].[H] | R6=[H].[H] | R7=[H].[H] | R8=[H] | R10=[H] | R11=[H] | R16=[H]C([H])[H] | R18=[H] | R20=[H] | R21=[H] | R22=[H]NC([H])([H])[H] | R23=[H] | R26=[H].[H]C([H])[H] | R28=[H].[H] | R29=[H].[H] | R31=[H] | R32=[H].[H] | R34=F | R35=[H] | R37=[H] | R38=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5[C@@H]6CCCC[C@H]6C[C@@H]5C(F)(F)F)cc4F)CC2)n3C)c(=O)c1,FC(F)F.[H],[H].[H],[H],[H].[H],[H].[H],[H].[H],[H].[H],[H],,[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-1703858_12088,-11.305634175153783,2.0,0.456908265392317,,R1=[H].[H]OC([H])[H] | R2=[H].[H] | R3=[H] | R4=[H].[H] | R5=[H].[H] | R6=[H].[H] | R7=[H].[H] | R8=[H] | R10=[H] | R11=[H] | R16=[H]C([H])[H] | R18=[H] | R20=[H] | R21=[H] | R22=[H]NC([H])([H])[H] | R23=[H] | R26=[H].[H]C([H])[H] | R28=[H].[H] | R29=[H].[H] | R31=[H] | R32=[H].[H] | R34=F | R35=[H] | R37=[H] | R38=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5[C@H](CO)C[C@@H]6CCCC[C@@H]65)cc4F)CC2)n3C)c(=O)c1,[H].[H]OC([H])[H],[H].[H],[H],[H].[H],[H].[H],[H].[H],[H].[H],[H],,[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-60535_40093,-11.191558667673911,2.0,0.45135504319948094,,R1=[H].[H] | R2=[H].[H] | R3=[H] | R4=[H].[H] | R5=[H].[H] | R6=[H].[H] | R7=[H].[H] | R8=[H] | R10=[H] | R11=[H] | R16=[H]C([H])[H] | R18=[H] | R20=[H] | R21=[H] | R22=[H]NC([H])([H])[H] | R23=[H] | R26=[H].[H]C([H])[H] | R28=[H].[H] | R29=[H].[H] | R31=[H] | R32=[H].[H] | R34=F | R35=[H] | R37=[H] | R38=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CC[C@@H]6CCCC[C@@H]65)cc4F)CC2)n3C)c(=O)c1,[H].[H],[H].[H],[H],[H].[H],[H].[H],[H].[H],[H].[H],[H],,[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-75050_22128,-11.175292106484573,2.0,0.45056318322363376,,R1=[H].[H]C([H])[H] | R2=[H].[H] | R3=[H] | R4=[H].[H] | R5=[H].[H] | R6=[H].[H] | R7=[H].[H] | R8=[H] | R10=[H] | R11=[H] | R16=[H]C([H])[H] | R18=[H] | R20=[H] | R21=[H] | R22=[H]NC([H])([H])[H] | R23=[H] | R26=[H].[H]C([H])[H] | R28=[H].[H] | R29=[H].[H] | R31=[H] | R32=[H].[H] | R34=F | R35=[H] | R37=[H] | R38=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5[C@@H]6CCCC[C@H]6C[C@@H]5C)cc4F)CC2)n3C)c(=O)c1,[H].[H]C([H])[H],[H].[H],[H],[H].[H],[H].[H],[H].[H],[H].[H],[H],,[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-21603732_41806,-11.069464837052895,2.0,0.4454114871742524,,R1=FC(F)F.[H] | R2=[H].[H] | R3=[H] | R4=[H].[H] | R5=[H].[H] | R6=[H].[H] | R7=[H].[H] | R8=[H] | R10=[H] | R11=[H] | R16=[H]C([H])[H] | R18=[H] | R20=[H] | R21=[H] | R22=[H]NC([H])([H])[H] | R23=[H] | R26=[H].[H]C([H])[H] | R28=[H].[H] | R29=[H].[H] | R31=[H] | R32=[H].[H] | R34=F | R35=[H] | R37=[H] | R38=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5[C@@H]6CCCC[C@@H]6C[C@@H]5C(F)(F)F)cc4F)CC2)n3C)c(=O)c1,FC(F)F.[H],[H].[H],[H],[H].[H],[H].[H],[H].[H],[H].[H],[H],,[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-52471102_43559,-10.963979290501232,2.0,0.4402764262740193,,R1=[H].[H]OC([H])[H] | R2=[H].[H] | R3=[H] | R4=[H].[H] | R5=[H].[H] | R6=[H].[H] | R7=[H].[H] | R8=[H] | R10=[H] | R11=[H] | R16=[H]C([H])[H] | R18=[H] | R20=[H] | R21=[H] | R22=[H]NC([H])([H])[H] | R23=[H] | R26=[H].[H]C([H])[H] | R28=[H].[H] | R29=[H].[H] | R31=[H] | R32=[H].[H] | R34=F | R35=[H] | R37=[H] | R38=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5[C@@H](CO)C[C@@H]6CCCC[C@H]65)cc4F)CC2)n3C)c(=O)c1,[H].[H]OC([H])[H],[H].[H],[H],[H].[H],[H].[H],[H].[H],[H].[H],[H],,[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-75050_22129,-10.963384384929936,2.0,0.4402474661326696,,R1=[H].[H]C([H])[H] | R2=[H].[H] | R3=[H] | R4=[H].[H] | R5=[H].[H] | R6=[H].[H] | R7=[H].[H] | R8=[H] | R10=[H] | R11=[H] | R16=[H]C([H])[H] | R18=[H] | R20=[H] | R21=[H] | R22=[H]NC([H])([H])[H] | R23=[H] | R26=[H].[H]C([H])[H] | R28=[H].[H] | R29=[H].[H] | R31=[H] | R32=[H].[H] | R34=F | R35=[H] | R37=[H] | R38=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5[C@H](C)C[C@H]6CCCC[C@@H]65)cc4F)CC2)n3C)c(=O)c1,[H].[H]C([H])[H],[H].[H],[H],[H].[H],[H].[H],[H].[H],[H].[H],[H],,[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-2009829_13847,-10.645842087644716,2.0,0.4247894333664374,,R1=[H].[H]O | R2=[H].[H] | R4=[H] | R5=[H].[H] | R6=[H].[H] | R7=[H].[H] | R8=[H].[H] | R9=[H] | R10=[H] | R11=[H] | R16=[H]C([H])[H] | R18=[H] | R20=[H] | R21=[H] | R22=[H]NC([H])([H])[H] | R23=[H] | R26=[H].[H]C([H])[H] | R28=[H].[H] | R29=[H].[H] | R31=[H] | R32=[H].[H] | R34=F | R35=[H] | R37=[H] | R38=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5C[C@@H](O)[C@@H]6CCCC[C@@H]65)cc4F)CC2)n3C)c(=O)c1,[H].[H]O,[H].[H],,[H],[H].[H],[H].[H],[H].[H],[H].[H],[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
